timestamp,from_regime,to_regime
2019-01-10 00:00:00+00:00,RISK_OFF,TREND
2019-01-11 00:00:00+00:00,TREND,CHOP
2019-01-14 00:00:00+00:00,CHOP,TREND
2019-01-15 00:00:00+00:00,TREND,CHOP
2019-01-16 00:00:00+00:00,CHOP,TREND
2019-01-17 00:00:00+00:00,TREND,CHOP
2019-01-18 00:00:00+00:00,CHOP,TREND
2019-01-21 00:00:00+00:00,TREND,CHOP
2019-01-22 00:00:00+00:00,CHOP,TREND
2019-01-23 00:00:00+00:00,TREND,CHOP
2019-01-24 00:00:00+00:00,CHOP,TREND
2019-01-25 00:00:00+00:00,TREND,CHOP
2019-01-28 00:00:00+00:00,CHOP,TREND
2019-01-29 00:00:00+00:00,TREND,CHOP
2019-01-30 00:00:00+00:00,CHOP,TREND
2019-01-31 00:00:00+00:00,TREND,CHOP
2019-02-01 00:00:00+00:00,CHOP,TREND
2019-02-04 00:00:00+00:00,TREND,CHOP
2019-02-05 00:00:00+00:00,CHOP,TREND
2019-02-06 00:00:00+00:00,TREND,CHOP
2019-02-07 00:00:00+00:00,CHOP,TREND
2019-02-08 00:00:00+00:00,TREND,CHOP
2019-02-11 00:00:00+00:00,CHOP,TREND
2019-02-27 00:00:00+00:00,TREND,RISK_OFF
2019-03-25 00:00:00+00:00,RISK_OFF,CHOP
